epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
0,49,1.3591289520263672,0.6961402893066406,,,
0,99,1.34220552444458,0.701829195022583,,,
0,149,1.3336429595947266,0.7080956101417542,,,
0,199,1.3288708925247192,0.7075485587120056,,,
0,249,1.3323442935943604,0.7046852111816406,,,
0,299,1.3203314542770386,0.7121982574462891,,,
0,349,1.2994846105575562,0.7400227189064026,,,
0,399,1.346541166305542,0.7001810073852539,,,
0,449,1.3150453567504883,0.7197995781898499,,,
0,459,,,0.8010738072583934,1.31374990940094,0.7046345472335815
1,499,1.317146897315979,0.7242618799209595,,,
1,549,1.3167388439178467,0.721051812171936,,,
1,599,1.283921718597412,0.7538468837738037,,,
1,649,1.2992537021636963,0.741414487361908,,,
1,699,1.3326711654663086,0.7266005873680115,,,
1,749,1.3331553936004639,0.7049211263656616,,,
1,799,1.3061574697494507,0.7368593215942383,,,
1,849,1.2849963903427124,0.7667579054832458,,,
1,899,1.291488528251648,0.7544285655021667,,,
1,919,,,0.9497077613157537,1.3056293725967407,0.7260993719100952
2,949,1.2622352838516235,0.7873820066452026,,,
2,999,1.2976347208023071,0.7462612390518188,,,
2,1049,1.3180495500564575,0.7215526103973389,,,
2,1099,1.288095235824585,0.771247148513794,,,
2,1149,1.2811803817749023,0.7698290348052979,,,
2,1199,1.2768633365631104,0.7733813524246216,,,
2,1249,1.314467430114746,0.7324866056442261,,,
2,1299,1.2893905639648438,0.7549530863761902,,,
2,1349,1.2710319757461548,0.7721747159957886,,,
2,1379,,,0.9014543971727607,1.3155524730682373,0.7304469347000122
3,1399,1.3272531032562256,0.7086978554725647,,,
3,1449,1.3041281700134277,0.7400656938552856,,,
3,1499,1.3538272380828857,0.7017229795455933,,,
3,1549,1.3211641311645508,0.7182042598724365,,,
3,1599,1.2906421422958374,0.7569835186004639,,,
3,1649,1.3319787979125977,0.7134507894515991,,,
3,1699,1.25042724609375,0.7966737151145935,,,
3,1749,1.3188722133636475,0.7312345504760742,,,
3,1799,1.2917143106460571,0.7503254413604736,,,
3,1839,,,0.8867065379910289,1.2845665216445923,0.743430495262146
4,1849,1.2912495136260986,0.7565732002258301,,,
4,1899,1.2825480699539185,0.7616517543792725,,,
4,1949,1.2990827560424805,0.7459031343460083,,,
4,1999,1.2892358303070068,0.762475311756134,,,
4,2049,1.275007724761963,0.794578492641449,,,
4,2099,1.313709020614624,0.7559501528739929,,,
4,2149,1.2463438510894775,0.8338989019393921,,,
4,2199,1.227623462677002,0.8141580820083618,,,
4,2249,1.3366286754608154,0.6866875886917114,,,
4,2299,1.1572468280792236,0.8366120457649231,,,
4,2299,,,0.7335870599429115,1.2781190872192383,0.773093581199646
5,2349,1.1721851825714111,0.8542158603668213,,,
5,2399,1.188342571258545,0.8627061247825623,,,
5,2449,1.1285488605499268,0.8809283375740051,,,
5,2499,1.2465381622314453,0.7668848037719727,,,
5,2549,1.149128794670105,0.9170295000076294,,,
5,2599,1.0933070182800293,0.9557004570960999,,,
5,2649,1.2389605045318604,0.8034902215003967,,,
5,2699,1.2667738199234009,0.8029799461364746,,,
5,2749,1.2264046669006348,0.7554218769073486,,,
5,2759,,,0.6438765801277695,1.338844895362854,0.7204314470291138
6,2799,1.1160964965820312,0.9777489900588989,,,
6,2849,1.1937252283096313,0.8516511917114258,,,
6,2899,1.2748430967330933,0.8007792234420776,,,
6,2949,1.0805950164794922,0.9424052238464355,,,
