epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_loss,validation_generator_loss
0,0,,,1.0177817344665527,1.032470703125
1,1,,,1.0276657342910767,1.0517902374267578
2,2,,,1.0428589582443237,1.0722072124481201
3,3,,,1.0446066856384277,1.0844395160675049
4,4,,,1.0460162162780762,1.097617506980896
5,5,,,1.0489100217819214,1.1104923486709595
6,6,,,1.0707495212554932,1.162805199623108
7,7,,,1.0587100982666016,1.135058045387268
8,8,,,1.0465694665908813,1.1544140577316284
9,9,,,1.0218772888183594,1.1329306364059448
10,10,,,0.992340087890625,1.1577767133712769
11,11,,,0.961113691329956,1.1447781324386597
12,12,,,0.9109145998954773,1.1669976711273193
13,13,,,0.8657405376434326,1.0573164224624634
14,14,,,0.8108342885971069,1.13441801071167
15,15,,,0.7663608193397522,1.24092698097229
16,16,,,0.7630143165588379,0.9874584674835205
17,17,,,0.7110360264778137,1.162717342376709
18,18,,,0.7104130983352661,0.9574512243270874
19,19,,,0.6102406978607178,1.0636849403381348
20,20,,,0.6290010809898376,0.7985615730285645
21,21,,,0.5837701559066772,1.17917799949646
22,22,,,0.5278714895248413,1.0330928564071655
23,23,,,0.5519386529922485,1.115756630897522
24,24,,,0.6116395592689514,1.1567816734313965
25,25,,,0.679031252861023,1.1896748542785645
26,26,,,0.5379819869995117,1.083516001701355
27,27,,,0.5274534821510315,0.6213542819023132
28,28,,,0.42057904601097107,0.6303020119667053
29,29,,,0.563862681388855,1.1051530838012695
30,30,,,0.6171809434890747,1.0744189023971558
31,31,,,0.5150326490402222,0.8019912242889404
32,32,,,0.5054094791412354,0.9678400754928589
33,33,,,0.561260461807251,1.066787600517273
34,34,,,0.5074806213378906,0.72296142578125
35,35,,,0.633089542388916,0.717769980430603
36,36,,,0.5232182741165161,1.1930972337722778
37,37,,,0.5659562349319458,0.8131103515625
38,38,,,0.6244615316390991,0.9550125002861023
39,39,,,0.49910759925842285,0.9784368276596069
40,40,,,0.4845263957977295,0.6246705055236816
41,41,,,0.5479669570922852,0.9240473508834839
42,42,,,0.4630129635334015,0.8988010287284851
43,43,,,0.5806161165237427,0.7750386595726013
44,44,,,0.691953182220459,0.7108172178268433
45,45,,,0.5251400470733643,0.8111290335655212
46,46,,,0.525654673576355,1.3449985980987549
47,47,,,0.5965153574943542,0.713249921798706
48,48,,,0.4477459192276001,1.1584038734436035
49,49,0.566867470741272,0.9989544749259949,,
49,49,,,0.5300472974777222,1.503699541091919
50,50,,,0.5708516836166382,0.9809249043464661
51,51,,,0.584983229637146,1.2898268699645996
52,52,,,0.5326681137084961,0.9241695404052734
53,53,,,0.7477939128875732,1.202921748161316
54,54,,,0.6203650236129761,1.1186509132385254
55,55,,,0.5803604125976562,0.966391921043396
56,56,,,0.5240508317947388,1.1083943843841553
57,57,,,0.47043877840042114,0.8556622862815857
58,58,,,0.554577648639679,1.1976960897445679
59,59,,,0.46787193417549133,0.9890683889389038
60,60,,,0.5003126859664917,0.9108928442001343
61,61,,,0.4870957136154175,0.8167592287063599
62,62,,,0.6185542345046997,0.9736070036888123
63,63,,,0.5035296678543091,0.7995783090591431
64,64,,,0.43212655186653137,1.0249717235565186
65,65,,,0.5729020833969116,0.9600604176521301
66,66,,,0.5791423320770264,0.9929102659225464
67,67,,,0.5835391283035278,1.423982858657837
68,68,,,0.6113393902778625,0.8232749104499817
69,69,,,0.47107914090156555,1.5748275518417358
70,70,,,0.5113719701766968,1.0772371292114258
71,71,,,0.580361008644104,1.5162384510040283
72,72,,,0.561082661151886,1.5197153091430664
73,73,,,0.4813278317451477,0.6881574988365173
74,74,,,0.5444225668907166,1.1337405443191528
75,75,,,0.607462465763092,0.8737365007400513
