epoch,step,train_discriminator_accuracy,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
0,21,,,,1.0,1.3734601736068726,0.6974700689315796
1,43,,,,1.0,0.9907756447792053,0.7045212388038635
2,49,1.0,1.1326664686203003,0.7011862993240356,,,
2,65,,,,1.0,0.9516250491142273,0.6983231902122498
3,87,,,,1.0,0.905664324760437,0.7089625597000122
4,99,1.0,1.0577027797698975,0.7247333526611328,,,
4,109,,,,1.0,0.8892297744750977,0.7175338268280029
5,131,,,,1.0,0.8568312525749207,0.7196362614631653
6,149,1.0,1.043233871459961,0.7011414170265198,,,
6,153,,,,1.0,0.8996457457542419,0.7279158234596252
7,175,,,,1.0,0.8466258645057678,0.7360892295837402
8,197,,,,1.0,0.9138138890266418,0.7453738451004028
9,199,1.0,1.0509852170944214,0.7097269892692566,,,
9,219,,,,1.0,0.9417958855628967,0.7165935635566711
10,241,,,,1.0,0.9974920153617859,0.7441580891609192
11,249,1.0,1.0656561851501465,0.7143429517745972,,,
11,263,,,,0.5,0.9848504066467285,0.686495840549469
12,285,,,,1.0,0.9998202919960022,0.7850157618522644
13,299,1.0,1.0777894258499146,0.729915201663971,,,
13,307,,,,1.0,1.0725282430648804,0.7070460915565491
14,329,,,,1.0,1.0560476779937744,0.7710146903991699
15,349,1.0,1.0519495010375977,0.7801353931427002,,,
15,351,,,,1.0,1.082417368888855,0.7085112929344177
16,373,,,,0.4714285714285714,1.3355551958084106,0.6736257076263428
17,395,,,,0.9714285714285714,1.2172869443893433,0.7360087633132935
18,399,0.46875,1.2439422607421875,0.9052412509918213,,,
18,417,,,,0.7142857142857143,1.3923619985580444,0.7240960001945496
19,439,,,,0.5714285714285714,1.507713794708252,0.7439234256744385
20,449,0.75,1.2939573526382446,0.8037962913513184,,,
20,461,,,,0.32857142857142857,1.4153136014938354,0.6392526626586914
21,483,,,,0.18571428571428572,1.4196785688400269,0.668467104434967
22,499,0.5,1.3998041152954102,0.7184626460075378,,,
22,505,,,,0.44285714285714284,1.4573028087615967,0.7060934901237488
23,527,,,,0.11428571428571428,1.4059971570968628,0.6869800090789795
24,549,0.32142857142857145,1.3973875045776367,0.6910659074783325,,,
24,549,,,,0.3,1.401915431022644,0.6717798113822937
25,571,,,,0.6857142857142857,1.3783531188964844,0.704615592956543
26,593,,,,0.6571428571428571,1.3720746040344238,0.7134829163551331
27,599,0.75,1.360287070274353,0.7198969721794128,,,
27,615,,,,0.5857142857142857,1.3715801239013672,0.7089173197746277
28,637,,,,0.5142857142857142,1.3859583139419556,0.7389160394668579
29,649,0.5,1.378589153289795,0.7212164998054504,,,
29,659,,,,0.42857142857142855,1.3929404020309448,0.6812340617179871
30,681,,,,0.4142857142857143,1.4004417657852173,0.6648619771003723
31,699,0.71875,1.3634886741638184,0.721738338470459,,,
31,703,,,,0.5428571428571428,1.380506992340088,0.6776365041732788
32,725,,,,0.5571428571428572,1.3788200616836548,0.673828661441803
33,747,,,,0.3142857142857143,1.4142979383468628,0.6720693111419678
34,749,0.53125,1.3784689903259277,0.6939911246299744,,,
34,769,,,,0.4142857142857143,1.4018759727478027,0.6848522424697876
35,791,,,,0.5285714285714286,1.3787033557891846,0.680030345916748
36,799,0.125,1.4129459857940674,0.7126315236091614,,,
36,813,,,,0.5142857142857142,1.3765467405319214,0.6872178316116333
37,835,,,,0.5571428571428572,1.3862582445144653,0.6970751285552979
38,849,0.4375,1.391822338104248,0.7210104465484619,,,
38,857,,,,0.6857142857142857,1.3612759113311768,0.7293274998664856
39,879,,,,0.5285714285714286,1.376008152961731,0.687297523021698
40,899,0.71875,1.3555850982666016,0.7434986233711243,,,
40,901,,,,0.4857142857142857,1.360677719116211,0.6607794761657715
41,923,,,,0.22857142857142856,1.4163199663162231,0.6672648191452026
42,945,,,,0.5,1.402402400970459,0.696026623249054
43,949,0.53125,1.384194254875183,0.7420094609260559,,,
43,967,,,,0.5428571428571428,1.380771279335022,0.7155031561851501
44,989,,,,0.5857142857142857,1.3690203428268433,0.7508870363235474
45,999,0.59375,1.3756470680236816,0.7558895945549011,,,
45,1011,,,,0.4,1.3911625146865845,0.6996647119522095
46,1033,,,,0.8,1.3373430967330933,0.7157509922981262
47,1049,0.59375,1.3670387268066406,0.7333557605743408,,,
47,1055,,,,0.6714285714285714,1.3612134456634521,0.7162554860115051
48,1077,,,,0.4857142857142857,1.3858006000518799,0.7040955424308777
